,user_name,user_location,user_description,user_verified,date,text,hashtags,source,cleaned_text
0,Youngwhitebull,,Straight young white 27 year old BULL.,False,2022-04-17 16:24:52,@sexy031118 Let's just go multiple rounds and hit all the spots!,,Twitter for Android,sexy031118 multiple round spot
1,Serenity,,Let's be moots!!,False,2022-04-17 16:24:52,@_craigebaee already done,,Twitter for Android,_craigebaee already done
2,Y so serious,,"not insane, just super-sane",False,2022-04-17 16:24:52,"@BogartBrandoMAV his defensive switch is insane, he looked godly on defense yesterday",,Twitter for iPhone,BogartBrandoMAV defensive switch insane looked godly defense yesterday
3,Tapan Kumar,,,False,2022-04-17 16:24:52,"@vlwjharkhand @HemantSorenJMM @JharkhandCMO @nisha_singhmarr Decreasing grade pay of Jansewak of Jharkhand is a complete injustice and condemnable. Dear CM Sri Hemant Soren Sir, please look into the matter personally and take requisite action to resolve the issue. Do the justice",,Twitter for Android,vlwjharkhand HemantSorenJMM JharkhandCMO nisha_singhmarr Decreasing grade Jansewak Jharkhand complete injustice condemnable Dear Hemant Soren please look matter personally take requisite action resolve issue justice
4,jesel,,Fitness motivator,False,2022-04-17 16:24:52,#happy easter 🐇🐰🐣,['happy'],Twitter for iPhone,happy easter
5,V.A.P.,België,"#Faith           



                                               I sought the Lord, and he heard me, and delivered me from all my fears. Psalm34:4",False,2022-04-17 16:24:52,@sophiadahl1 The bew nazi empire.,,Twitter for Android,sophiadahl1 nazi empire
6,Zahnow,"Saugatuck, MI","NFT Creator, Encaustic artist, and Photographer in the US. Photographer of small coffee farms around the world. #nftphotography #nftart",False,2022-04-17 16:24:52,Love BW. Gorgeous https://t.co/ci653uyv4v,,Twitter for iPhone,Love Gorgeous http //t.co/ci653uyv4v
7,☕ 🔥Cannabis-Coffee Nebula🖖😷,Arctic Shitpost Π110,"-🖖, pharmer, chef, atheist, treehugger, lesbian 
-drag king
-angry, silly, smart, stoned
-I'd vote for #HillaryClinton, again

🦄 tiny tina up in here!",False,2022-04-17 16:24:52,@MenckenWasRight @SaveAmerica206 @DrinkandKnowLLC The other stereotype here is that all white people are racist. Let's not gloss over that one.,,Twitter Web App,MenckenWasRight SaveAmerica206 DrinkandKnowLLC stereotype white people racist gloss
8,Lush omo🇿🇲🇿🇲,,"Man city💙Barça♥️💙
GoOd bOy wiTh Bad hAbbiTs
Architect 
Copperbelt University
6 ft tall",False,2022-04-17 16:24:52,@sadtidddy God damn♥️😍,,Twitter for Android,sadtidddy damn♥️😍
9,Mark Stinchcombe,✈️,Football odds compiler for European company. Tennis & Darts trader. Computer Games Programming degree. Liverpool FC supporter.,False,2022-04-17 16:24:52,@DannyT78 Talk about overthinking. Played James wing-back in his biggest ever game v Sterling in the CL final,,Twitter Web App,DannyT78 Talk overthinking Played James wing-back biggest ever game Sterling final
10,𝐌𝐢𝐧𝐲𝐚𝐧𝐠🥟,쌍문동,17 | +63,False,2022-04-17 16:24:52,I'm once again fatherless for 3 days HAHAHA.,,Twitter for Android,fatherless day HAHAHA
11,tara lal,,Teacher,False,2022-04-17 16:24:52,"Regularization is right of JESTs&amp;ECTs 2018 appointed through Sukkur IBA University.
#RegularizeJestEctSindh https://t.co/xDTAI6TC44",['RegularizeJestEctSindh'],Twitter for Android,Regularization right JESTs ECTs 2018 appointed Sukkur University RegularizeJestEctSindh http //t.co/xDTAI6TC44
12,YVE | BANDIT | WIP Healing | KO8 | (◉ ◡ ◉),"Kuching, Sarawak","Pentas poet | Here to explore, more and more. 
Journaling thoughts into anything I decided them to be.
Check out my pentas or #theyveeara 🌹",False,2022-04-17 16:24:52,@AzyanDraws I. Agree. Wholeheartedly :),,Twitter for Android,AzyanDraws Agree Wholeheartedly
13,PunkFeed,,Everything going on with the punks 🤖🤖. More coming soon. 🍳 Not affiliated with @larvalabs.,False,2022-04-17 16:24:52,"💸 Punk 5241 received an offer for 69Ξ (212,155 US$) from 0x36d636. https://t.co/qMxR0zDY2E #cryptopunks #punk5241 #punkoffer #4traits #male #shadowbeard #silverchain #hornedrimglasses #dorag","['cryptopunks', 'punk5241']",Cryptopunks Feed,"Punk 5241 received offer 212,155 0x36d636 http //t.co/qMxR0zDY2E cryptopunks punk5241 punkoffer 4traits male shadowbeard silverchain hornedrimglasses dorag"
14,The DEEP Marcellus,UpUpUpper Marcellus,Living on Gucci gas #EFT #CanadianOilMafia,False,2022-04-17 16:24:52,@peterdevietien @IlliniProgrammr Once again Pete…I will take this opportunity to point out that the fate of our Republic was largely sealed by the passage of the 17th Amendment. The begining of the end.,,Twitter for iPhone,peterdevietien IlliniProgrammr Once Pete…I take opportunity point fate Republic largely sealed passage 17th Amendment begining
15,wqy,,,False,2022-04-17 16:24:52,@peterdevietien @IlliniProgrammr Once again Pete…I will take this opportunity to point out that the fate of our Republic was largely sealed by the passage of the 17th Amendment. The begining of the end.,,Twitter for iPhone,peterdevietien IlliniProgrammr Once Pete…I take opportunity point fate Republic largely sealed passage 17th Amendment begining
16,Puffball Art 'n' Stuff,,"🏳️‍⚧️🏳️‍🌈 He/they/she Hey, you can call me Puff! Autistic animator and illustrator!",False,2022-04-17 16:24:52,If I was a fox born with two tails living my best life and then some big shot hedgehog started calling me tails I would be fucking enraged,,Twitter for iPad,born tail living best life shot hedgehog started calling tail would fucking enraged
17,Dwight Houweling,,foo += 1,False,2022-04-17 16:24:52,@bwolman @pham_tin @femeninna Quite right.,,Twitter for iPhone,bwolman pham_tin femeninna Quite right
18,koo,she/her | kyne ,loving and praising jungkook is the only purpose of my life.,False,2022-04-17 16:24:52,@googieisreal @rabitgguk97 me too 😏,,Twitter for iPhone,googieisreal rabitgguk97
19,ian chantrell,,,False,2022-04-17 16:24:52,Easter Sunday pt 2 https://t.co/Yasp3yC2UL,,Instagram,Easter Sunday http //t.co/Yasp3yC2UL
20,Madiha Rathore,"Baden-Württemberg, Germany",#Pakistani 🇵🇰🇩🇪,False,2022-04-17 16:24:52,"@ImranARaja1 I think action speak louder than words
 #امپورٹڈ_حکومت_نامنظور #امپورٹڈ_حکومت_نامنظور #امپورٹڈ_حکومت_نامنظور #امپورٹڈ_حکومت_نامنظور","['امپورٹڈ_حکومت_نامنظور', 'امپورٹڈ_حکومت_نامنظور']",Twitter for Android,ImranARaja1 think action speak louder word امپورٹڈ_حکومت_نامنظور امپورٹڈ_حکومت_نامنظور امپورٹڈ_حکومت_نامنظور امپورٹڈ_حکومت_نامنظور
21,Loans Connoisseur,Kenya,"Actuary, ARSENAL FAN,Social and Political Commentator, Business,",False,2022-04-17 16:24:52,"@kilundeezy Sasa ulikua unakaa aje surely, for me I always and will always find tucked in, tie tied up, shoes official and blazer very neat... Hii hapana",,Twitter for Android,kilundeezy Sasa ulikua unakaa surely always always find tucked tied shoe official blazer neat hapana
22,"GW, MD","Kentucky, USA","Christian, Husband, Father, Family Practice Physician, Patriot, 2A supporter, #MAGA🇺🇸 GETTR: @Porterguy1",False,2022-04-17 16:24:52,@CryptoSangheili Certainly should be a staple of the treatment.,,Twitter for iPad,CryptoSangheili Certainly staple treatment
23,8,Toulouse,@OM_Officiel • @ManCity • FC Gerson 🙅🏾‍♂️🇧🇷,False,2022-04-17 16:24:52,@_BeFoot @FabriceHawkins Onlesmange,,Twitter for iPhone,_BeFoot FabriceHawkins Onlesmange
24,𝔖𝔬𝔭𝔥🦇🎃,Cornwall,23 | book and coffee obsessed | moonchild 🌙 CR: serpent and dove 🕊,False,2022-04-17 16:24:52,March illumicrate unboxing 🖤https://t.co/VfeJmEprtQ,,Twitter for iPhone,March illumicrate unboxing 🖤https //t.co/VfeJmEprtQ
25,Sky Fong 🔥,"Selangor, Malaysia","- Eurobeat enthusiast 
- DMC gamer",False,2022-04-17 16:24:52,"@markgonautnui It really is, seeing this is their first and last Apex tourney. Hopefully, they still will collab, doesn't have to be Apex.",,Twitter Web App,markgonautnui really seeing first last Apex tourney Hopefully still collab Apex
26,Prudy 1️⃣0️⃣3️⃣🏆💜🖤,,I mostly tweet about #Motorsports #Tennis. Can't hide my love for @MercedesAMGF1 and @LewisHamilton 🖤💜 @SerenaWilliams @RogerFederer #f1,False,2022-04-17 16:24:52,"@MercedesAMGF1 Hmmm, such a short video yet it has sent me on a thinking spree😅 anyway happy Easter Team🤍",,Twitter for iPhone,MercedesAMGF1 Hmmm short video sent thinking spree😅 anyway happy Easter Team🤍
27,Danny 🌙,,"Gay as fuck 🏳️‍🌈, Cancer, Happily taken 💕, coffee and music, gaymer, Black Lives Matter, Scream fan, horror fan, cat dad, he/him, JoJo retweeted",False,2022-04-17 16:24:52,@screamsourcee They are both in my top 3 with Mrs Loomis 2nd and Amber 3rd. Mrs Loomis is a great mastermind and Amber carried Richie throughout Scream 5. I believe together they would have been unstoppable together,,Twitter for iPhone,screamsourcee They Loomis Amber Loomis great mastermind Amber carried Richie throughout Scream believe together would unstoppable together
28,veejayrex💕.NEAR,,"website designer, freelancer , Fashiondesigner, model, business minded , NFT Marketer.",False,2022-04-17 16:24:52,@solgiyuu @chestfinance Let’s go pirates 🚀🚀🚀🥰,,Twitter for iPhone,solgiyuu chestfinance pirate 🚀🚀🚀🥰
29,True Human,,"Entrepreneur, Shiva devotee",False,2022-04-17 16:24:52,@theamarjeet @Shreedha__ No worries AJbhai. https://t.co/rlPXzrCS0v,,Twitter for Android,theamarjeet Shreedha__ worry AJbhai http //t.co/rlPXzrCS0v
30,s 🥀,she/her + early 90s,new buying account 🦋 semi stan account | both for GOT7 and a little bit of everyone else,False,2022-04-17 16:24:52,@BamBam1A @dnaofficial Whut??,,Twitter for Android,BamBam1A dnaofficial Whut
31,Jablonski B,,guy,False,2022-04-17 16:24:52,i suck at gd,,"Cheap Bots, Done Quick!",suck
32,sera, 🧕🏽,what is this lump of white sugar,False,2022-04-17 16:24:52,timeless hit https://t.co/P5QmHmOEMU,,Twitter for iPhone,timeless http //t.co/P5QmHmOEMU
33,Mark Bromley,,"Been having my heart broken by Wolverhampton Wanderers since being taken for the first time at the age of 4! Be happy & smile everyone, life isn't a rehearsal.",False,2022-04-17 16:24:52,"@henrywinter I hope Southgate goes with Reece James on the right of a back three and TAA at right wing-back in Qatar, Henry.",,Twitter for Android,henrywinter hope Southgate go Reece James right back three right wing-back Qatar Henry
34,Natalia,Kyiv 🇺🇦,Я не русофоб. Я їх не боюся. Я їх ненавиджу. Це не фобія.   Я мізорос.,False,2022-04-17 16:24:52,"Prez #Zelensky invited Prez @EmmanuelMacron 🇫🇷 to #Ukraine: he wants him to see with his own eyes the atrocities of the #Russian military and finally understand that this is not just a war, but the #genocide of the #Ukrainian people…Bienvenue en Ukraine, Monsieur le Président 🇺🇦 https://t.co/5RQ4ctenwg","['Zelensky', 'Ukraine']",Twitter for iPhone,Prez Zelensky invited Prez EmmanuelMacron Ukraine want eye atrocity Russian military finally understand genocide Ukrainian people…Bienvenue Ukraine Monsieur Président http //t.co/5RQ4ctenwg
35,AllotmentSlim,Southeast London,Allotment Slim does not work on an allotment. Musician. Husband. Father. Son. NHS employee. Dislikes hipsters and dinner party atheism. Likes South East London,False,2022-04-17 16:24:52,@captdarlin @CrowleyOnAir @sparkystone95 @RobertoFerdenzi @paulwellerHQ @PBruniges @andytheblackca1 @andyjcrofts @TheMumper Looks like hes playing bass for a 90s guitar band Stu!,,Twitter for iPhone,captdarlin CrowleyOnAir sparkystone95 RobertoFerdenzi paulwellerHQ PBruniges andytheblackca1 andyjcrofts TheMumper Looks like playing bass guitar band
36,Zubaida Shah Afridi,Pakistan,Pakhtana #ImranKhanPrimeMinister,False,2022-04-17 16:24:52,"@Parsaa_63 no, it’s better to chose loneliness over toxic friendship &amp; relationship.",,Twitter for Android,Parsaa_63 better chose loneliness toxic friendship relationship
37,Marko 💖🎀,"Cainta, Calabarzon",Mannered. Cultured. Domesticated.,False,2022-04-17 16:24:52,You will always be my baby.,,Twitter for iPhone,always baby
38,bina,,✨sad✨,False,2022-04-17 16:24:52,@casualcalla She’s just trying to smoke her stress away,,Twitter for iPhone,casualcalla trying smoke stress away
39,Melissa Bogdanović 🇺🇦,Utah,Mom of 2. UtahJazz/Utah Utes. Bojan Bogdanović fan acct. (she/her) #LLTJ #LLAL #LL22,False,2022-04-17 16:24:52,@Dinwoodey6 He was awful in the first half. I agree with this tweet. He's not gonna get what he has here many places. The tweet in' t wrong.,,Twitter for iPhone,Dinwoodey6 awful first half agree tweet many place tweet wrong
40,Happytraveller,,Tomorrow is the today I worried about yesterday.,False,2022-04-17 16:24:52,"@Sapere_aude_max @D531320 Ha ha ! 
Britain is losing its Britishness thanks to ppl like you who would allow everyone to come here.
Murderers, rapists, terrorists, without hinderance !
Then you can take your piece of the cake representing them in court !
Britain is a Christian country. But not to you !",,Twitter for Android,Sapere_aude_max D531320 Britain losing Britishness thanks like would allow everyone come Murderers rapist terrorist without hinderance Then take piece cake representing court Britain Christian country
41,LuciusXworld,,,False,2022-04-17 16:24:52,@CarlosFernRan @SobrVaclav You are. Stop pretending!,,Twitter for Android,CarlosFernRan SobrVaclav Stop pretending
42,Steven,Bathgate(formerly EK)Scotland,Enjoy life to the full as your a long time dead......it's all about The Famous Glasgow Rangers.......,False,2022-04-17 16:24:52,@4ladshadadream Can someone take a pic of the tweet plz as I'm blocked 🚫🥳,,Twitter for Android,4ladshadadream someone take tweet blocked
43,Superb Owl,Definitely not El Salvador. ,Everything on the internet is true - Abraham Lincoln,False,2022-04-17 16:24:52,"@leerawrs @rhensing No, I don't want to use supercharger either.  I don't want to use a mobile adapter.  I want a wall adapter.  Why is everyone so eager to force others into a specific choice?  Why is it so controversial to give options?",,Twitter Web App,leerawrs rhensing want supercharger either want mobile adapter want wall adapter everyone eager force others specific choice controversial give option
44,UTXO,Blockchain,hunting and stacking sats.,False,2022-04-17 16:24:52,@imBagsy This is Elon Mao,,Twitter for iPhone,imBagsy This Elon
45,loraine 🌸 ruggie day!!,21 | ENG/FIL ,somewhere between fantastic and a multifandom mess ༉‧₊˚✧ she/her — @dailylipxlip 💙💛 & @dailyhrtslbyl 🌹,False,2022-04-17 16:24:52,THE CHIBIS https://t.co/gczST5rcCK,,Twitter for iPad,CHIBIS http //t.co/gczST5rcCK
46,.,"London, England",don’t msg me or disturb me,False,2022-04-17 16:24:52,@nkemthebimbo @saedrj you as soon as sage left https://t.co/MqW9guCcf6,,Twitter for iPhone,nkemthebimbo saedrj soon sage left http //t.co/MqW9guCcf6
47,theMuse🦄,🌍,Rare Gem.,False,2022-04-17 16:24:52,@KevinPingwe I would like to think that selebi phikwe is worse and there's like one ice cream outlet 😑,,Twitter for Android,KevinPingwe would like think selebi phikwe worse like cream outlet
48,Light's strongest soldier ( Latte! ☕ ),Latte ☕#9584,Only Pichu In Vegas | https://t.co/kO8YFyShbQ | Professional neutral lacking lab rat | They/Them Fourteen | Wannabe Melee Modder | Backup/Vent - @RecxrdingGxld,False,2022-04-17 16:24:52,GETTEM N0NE,,Twitter Web App,GETTEM N0NE
49,red.,,,False,2022-04-17 16:24:52,"@lesgetitkookie @miagenre Yes im glad people explain it, indeed if we do not truly know things better learn it or keep it ourselves, the fact that op tweet things without source is concernig",,Twitter for Android,lesgetitkookie miagenre glad people explain indeed truly know thing better learn keep fact tweet thing without source concernig
50,DLJ,"Memphis, Tennessee","Steeler fan, Eternally single, Loves fighting games and shooting games. and i always here to make friends. stream",False,2022-04-17 16:24:52,@LeeandLie I'm going to miss this anime...,,Twitter Web App,LeeandLie going miss anime
51,CS_City-Solutions P. Mueller 🗽 🇺🇸 🇩🇪 🇬🇧,"New York,  USA  🇺🇸","CEO, US since 1984 (NYC / London), but with my heart in GERMANY

▶️ Trump isn't above the law ◀️ 
▶️ Chemistry / Vehicle-Technology ◀️ (somtimes satire 😄)",False,2022-04-17 16:24:52,@FoxNews Old man pregnant is missing https://t.co/VoAVMOBiL3,,Twitter for Android,FoxNews pregnant missing http //t.co/VoAVMOBiL3
52,Shannon,Ontario/Quebec Canada,"Just the girl next door. Dog training, and diabetic 💉. You'll see pictures, but I write stuff too. #FrenchBulldog #T1D #MentalHealth",False,2022-04-17 16:24:52,@Jez1 Isn't it the worst taste? How some enjoy it as beyond me.,,Twitter Web App,Jez1 worst taste enjoy beyond
53,Jeff Sorioso,Zamboanga City,Live a life to be of use to others.,False,2022-04-17 16:24:52,@Jez1 Isn't it the worst taste? How some enjoy it as beyond me.,,Twitter for Android,Jez1 worst taste enjoy beyond
54,OtakuLoneDragon,,"Artist & Beginner Youtuber

Witness Power Through Art!!! Check out My Instagram below",False,2022-04-17 16:24:52,"Me and My Brother made a Video together on his channel doing some missions go check out the video #DungeonDefenders2 @DungeonDef 
https://t.co/HuJZV1y8Pj",,Twitter for Android,Brother made Video together channel mission check video DungeonDefenders2 DungeonDef http //t.co/HuJZV1y8Pj
55,Dan,,Crypto investor. Stock gambler. 🎲🤖 HODL $ATOM ⚛️ $RANGO 🦎,False,2022-04-17 16:24:52,@yellowdoodle1x Take responsibility for your own actions.,,Twitter for iPhone,yellowdoodle1x Take responsibility action
56,jeyxil,,Parody of Jisoo Blackpink.  Playground Area.,False,2022-04-17 16:24:52,@Wendystodaiys Gass dong eon,,Twitter for iPhone,Wendystodaiys Gass dong
57,‍‍ ‍ # ‍‍‍‍ дорогая ﹔ 𝐤𝗮𝘀𝗽𝗲𝗿. ‍‍ ‍‍,nineteen. ⠀ any pronouns.,⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ghxstprince writer acct + spam.⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀,False,2022-04-17 16:24:52,@kunpimick yea i’m gonna kill him rn,,Twitter for iPhone,kunpimick kill
58,⚡ ArJuNkR ⚡,,Força Barça 💙❤️,False,2022-04-17 16:24:52,@Thaddeuspeter9 @sydney_uchenna @timibukun @icon_the_goat @ThedivingPeter @originalrakcity @ShanviMessi Finally saw a true red devil ❤️,,Twitter for Android,Thaddeuspeter9 sydney_uchenna timibukun icon_the_goat ThedivingPeter originalrakcity ShanviMessi Finally true devil
59,10.18.97__,"New Jersey, USA",,False,2022-04-17 16:24:52,My bad,,Twitter for iPhone,
60,lighthouseman 🇺🇦 🇺🇦,Ontario,Candidate for Prime Minister of Canada 🇨🇦. Music is my oxygen. Proud grandpa. My dog: little Jackson. Lifelong Maple Leafs fan. Terry Fox lives on. FRA/ENG,False,2022-04-17 16:24:52,"Ok trending#4 right now because #1 easter, #2 coachella… huge music fest, #3 pâques… easter. So really, #PierrePoilievreIsLyingToYou … you’re #1 Skippy! You win! Yes yes you won! You ARE the # 1 Loooooseeeeer!",,Twitter for iPhone,trending right easter coachella… huge music fest pâques… easter really PierrePoilievreIsLyingToYou Skippy Loooooseeeeer
61,Denise,,"Lover of life,animals,travel, music, and cursing. If you’ve rescued an animal, and have no mouth filter we can be friends! Extremely low tolerance for stupidity",False,2022-04-17 16:24:52,@DavidSacks That’s exactly how this shit doesn’t work?? Guess business school wasn’t your thing!🤔,,Twitter for iPhone,DavidSacks That exactly shit work Guess business school thing
62,boredom,"Coral Springs, FL","Well, I’m goddess little fluffie, she is my everything, and I will always be with her, my lovely goddess @kitsunami Debt to kit: 55",False,2022-04-17 16:24:52,"@pprck_ Yes, THIS",,Twitter for iPhone,pprck_ THIS
63,🟢Ekkenab@AnnekeHogenes,Nederland,"🇺🇦#Pensionada/Eerlijk/43 jr. getrouwd met #Indo Bas/3 zoons #Proudparent🌈
/3 kleindochters💖💖💖
 (2 x8+1x6) AJAX  ❌❌❌ /💉💉💉💉
/NO DM!!",False,2022-04-17 16:24:52,"Yes!!!
Gravenberch!!
#psvaja  0-1
❤❌❌❌❤",['psvaja'],Twitter for Android,Gravenberch psvaja ❤❌❌❌❤
64,Joey,North Carolina,"Cody Rhodes thinks I’m dumb, but I’m cool with that.",False,2022-04-17 16:24:52,@SandyFrizzle Why is it so small?,,Twitter for iPhone,SandyFrizzle small
65,Kris Brosker🚶🏽,"Thousandjoice, Winterbridge","minimal psywaver / AFK till Skate 4 drops / good at what I do, simply best at everything else",False,2022-04-17 16:24:52,@LAxFLAME @Rap own that IDIOT user,,Twitter for iPhone,LAxFLAME IDIOT user
66,Gio DeBatta 🍸,"Washington, DC",Numismatist. Altruist. Sweet Never Salty | Free Speech = yes pls | Endless War = no fukoff | Good Vibes | All Perspectives Welcome,False,2022-04-17 16:24:52,@Rocknocking exaaaactly,,Twitter for iPhone,Rocknocking exaaaactly
67,Praiz✌,"Abuja, Nigeria","Graduate of ATBU
https://t.co/a6EqlQtXE1 Computer Science...... Into Real Estate Management and Affiliate Marketing .Bring your properties!! 
Blue Blooded Chelsea Fan!!
💙💙💙",False,2022-04-17 16:24:52,"@jeffpenberton__ @AbsoluteChelsea I don't even know what HT changes should be
Kovacic is off...",,Twitter for Android,jeffpenberton__ AbsoluteChelsea even know change Kovacic
68,maria ♡,she/her,25 | chicago | full-time Halsey stan #iichliwp,False,2022-04-17 16:24:52,"@jeffpenberton__ @AbsoluteChelsea I don't even know what HT changes should be
Kovacic is off...",,Twitter for iPhone,jeffpenberton__ AbsoluteChelsea even know change Kovacic
69,ᵐᵃᵈˢᵒⁿˢ,,funpilled and enjoymentmaxxing,False,2022-04-17 16:24:52,"Jesus saith unto her, Woman, why weepest thou? whom seekest thou? She, supposing him to be the gardener, [...] Jesus saith unto her, Mary. She turned herself, and saith unto him, Rabboni; which is to say, Master.",,Twitter for iPhone,Jesus saith unto Woman weepest thou seekest thou supposing gardener Jesus saith unto Mary turned saith unto Rabboni Master
70,Steven Gallagher,Gibraltar,"I hail from the Ayrshire town of Kilmarnock.  Football, Celtic, Scotland",False,2022-04-17 16:24:52,It’s possible that you can play poorly but also the standard of officiating can cost you a game. Probably 3 yellow card offences from lundstram after he had been booked. Looked embarrassed to still be on the pitch.,,Twitter for iPhone,possible play poorly also standard officiating cost game Probably yellow card offence lundstram booked Looked embarrassed still pitch
71,promotion onlyfans,,Onlyfans Promotion 10M World wide network with guaranteed subscribers,False,2022-04-17 16:24:52,@Meganricchi3 Are you interested in shoutout,,Twitter for Android,Meganricchi3 interested shoutout
72,chrys,sin city,☆〜（ゝ。∂） she/her,False,2022-04-17 16:24:52,"luna maya di vegas is so random i have never even bumped into another indo here but HERE SHE IS, a national icon https://t.co/hvyqyozsWH",,Twitter for iPhone,luna maya vega random never even bumped another indo HERE national icon http //t.co/hvyqyozsWH
73,👩🏾‍💻,,on here to joke and lie don’t text me bout nothin i said on this app,False,2022-04-17 16:24:52,too pretty omg https://t.co/OqJgoLMHn8,,Twitter for iPhone,pretty http //t.co/OqJgoLMHn8
74,Joe McGaha,"Montclair, CA","Screenwriter, Producer, Marketing Manager, Singer",False,2022-04-17 16:24:52,@OKBJGM Very cool!  Go Javi!,,Twitter for Android,OKBJGM Very cool Javi
75,etheryan,,"ETH | NFTs | Ethereans

Primary Twitter handle is @rjmannion",False,2022-04-17 16:24:52,"@wokesignal It's so hard. I literally love all of them. But if I had to choose, def cloning tubes and hot dog hands are probably my fav. I saw someone snag an AI cloning tubes the other day and was bummed I missed it! https://t.co/SvakHj5XNB",,Twitter Web App,wokesignal hard literally love choose cloning tube hand probably someone snag cloning tube bummed missed http //t.co/SvakHj5XNB
76,anii | 🦦,(she/her),"(film & tv enthusiast). ♡ kinda starting over, music side of twitter is getting a bit old. fan account :)",False,2022-04-17 16:24:52,@poorvsitions they gotta be kidding 💀,,Twitter for iPhone,poorvsitions kidding
77,Humanro,,Mihawk,False,2022-04-17 16:24:52,@koolk123456 @ZenjinViperz @Hubsol2 Lfg guys,,Twitter for Android,koolk123456 ZenjinViperz Hubsol2 guy
78,prisk :) 🍂 🍂 🍂 5 DAYS,she/her • dms r always open :),"🏳️‍🌈 what about me and you together... @alliumdvopos || cumtrio 1/3 @Kirkgnt @ceysaysstuff 💌 || memento mori || engaged to @Rainthebff 💍 || mcyttwt, hstwt",False,2022-04-17 16:24:52,@ceysaysstuff SKRIBBL BUT SAM IS IA SO NVM SADGE BEYEBYE,,Twitter Web App,ceysaysstuff SKRIBBL SADGE BEYEBYE
79,nabi.yumi,"San Pedro, Calabarzon",,False,2022-04-17 16:24:52,I'm selling ONHAND OFFICIAL BTS DICON PHOTO-CARDS... for ₱199. Get it on Shopee now! https://t.co/ZeEBvW2Cqz #ShopeePH https://t.co/DuoEpbpwAO,,Shopee_PH,selling ONHAND OFFICIAL DICON PHOTO-CARDS ₱199 Shopee http //t.co/ZeEBvW2Cqz ShopeePH http //t.co/DuoEpbpwAO
80,WatchingnXt,,"not affiliated to but watching #wwe #nxt from June 20th 2012 to present day, revisiting the stars of today, erm...yesterday? Alll views are mine. Let's begin...",False,2022-04-17 16:24:52,@Fightful I'm all for new stuff. Let's see how it plays out,,Twitter for Android,Fightful stuff play
81,Muhabarishaji News Agency🔔,Everywhere,"GET UPDATES ON #NEWS, #SPORTS, #TECH & #BUSINESS From Africa And Globally Disclaimer: Views expressed by readers via tweet replies do not reflect our position.",False,2022-04-17 16:24:52,Nevada ‘Motorcycle Mama’ Celebrates 102nd Birthday on Harley | Nevada News https://t.co/s35Xdu0L87,,WordPress.com,Nevada Motorcycle Mama Celebrates 102nd Birthday Harley Nevada News http //t.co/s35Xdu0L87
82,Annie⁷🌻🌈♡6/10,she/her 💜,(18♡)                                                                          AgustD: Everyone would fade away♡,False,2022-04-17 16:24:52,she's so dumb i can't believe it like a 4 yo child can protect themselves by learning martial arts wow https://t.co/7Fo8SCyIY6,,Twitter for Android,dumb believe like child protect learning martial art http //t.co/7Fo8SCyIY6
83,𝐃𝐨𝐧 𝐀𝐲𝐨 🇳🇬,"Sandton, South Africa",Educated Entertainer | Afrobeats DJ | Model | Host | Events Promoter | For booking enquiries: donayobookings@gmail.com,False,2022-04-17 16:24:52,Turns out all I needed to stop unraveling was a spliff 😂 green to the rescue 🍃,,Twitter for iPhone,Turns needed stop unraveling spliff green rescue
84,AhgaPaula ⁷ ᶠᵒʳ ⁷ 💚🇵🇪,"Lima, Peru",One of IGOT7 💚,False,2022-04-17 16:24:52,"@JacksonWang852 Jackson, you makes us proud EVERYDAY! Don't doubt it and don't forget that we will support you until the end of this amazing journey. So proud of you again and I waiting to see more about your history. Love you a lot ❤️💚",,Twitter for Android,JacksonWang852 Jackson make proud EVERYDAY doubt forget support amazing journey proud waiting history Love
85,f,sik k ♡ jay park,‹ ✩ the 𝒍𝒐𝒗𝒆 𝒘𝒐𝒓𝒍𝒅 of #𝐚𝐭𝐞𝐞𝐳 #𝐛𝐭𝐬 #𝐧𝐜𝐭 #𝐰𝐚𝐲𝐯 ✩ ›,False,2022-04-17 16:24:52,can pls give us the coy fest now @cultofya ITS BEEN 3 MONTHS??????????? where IS THE PROMISE U MADE,,Twitter for iPhone,give fest cultofya BEEN MONTHS PROMISE MADE
86,Stuart Bishop,"Manchester, UK","London born, adopted by Manchester. Feed formerly music, art, books...now mostly politics, campaigns & charity because the world is insane",False,2022-04-17 16:24:52,"I've signed the @detentionaction letter to @BorisJohnson and @pritipatel, telling them I won't accept them endangering refugees to save their reputations. Join me here &amp; make our voices as loud as possible: https://t.co/GbTzGQgoeS",,Twitter Web App,signed detentionaction letter BorisJohnson pritipatel telling accept endangering refugee save reputation Join make voice loud possible http //t.co/GbTzGQgoeS
